name,category,series,model,image_url,pdf_url,description,technical_specifications,dimension_specifications,features,applications,id,created_date,updated_date,created_by_id,created_by,is_sample
MECC Y2/Y23 Series Three-Phase Asynchronous Motor,electric_motor,MECC Y2/Y23,,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/mecc_motor.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/mecc_motor.pdf,"MECC Y2/Y23 Series IEC-frame three-phase asynchronous squirrel-cage motors designed for reliable S1 continuous duty, offering multiple pole options (2/4/6/8/10) and 50/60 Hz operation. Rugged cast-iron construction, precision-balanced rotors, and standardized IEC dimensions support easy installation and maintenance across a wide range of industrial applications.","{""Voltage"": [""220/380V"", ""230/400V"", ""400/690V""], ""Frequency"": [""50 Hz"", ""60 Hz""], ""kW"": ""0.12\u2013315"", ""Speed Options (RPM 50Hz)"": {""2P"": 2900, ""4P"": 1450, ""6P"": 960, ""8P"": 720, ""10P"": 580}, ""Speed Options (RPM 60Hz)"": {""2P"": 3450, ""4P"": 1730, ""6P"": 1140, ""8P"": 850, ""10P"": 700}, ""Insulation"": ""Class F (typical)"", ""Protection"": ""IP55 (typical)"", ""Cooling"": ""IC411 (typical)"", ""Duty"": ""S1 continuous""}","{""Mountings"": [""B3"", ""B5"", ""B35""], ""Note"": ""See catalog pages 4\u20136 for frame-specific A, B, C, D, E, F, H, K, L, M, N, P, S, T, PCD, and spigot.""}","[""Cast-iron housing with high mechanical strength"", ""Precision-balanced rotor for smooth, low-noise operation"", ""Wide frame coverage (63\u2013355) and 0.12\u2013315 kW range"", ""Multiple mountings: B3 (foot), B5 (flange), B35 (foot + flange)"", ""Dual-frequency 50/60 Hz for global use"", ""IP55 protection and Class F insulation (typical)"", ""High starting torque with good overload capacity"", ""IEC-standardized dimensions for easy replacement""]","[""Pumps for clean/process/irrigation water systems"", ""Fans and blowers for ventilation and air handling"", ""Air/gas compressors for industrial service"", ""Conveyors and material handling lines"", ""Mixers, crushers, grinders, and machine tools"", ""HVAC equipment in commercial/industrial facilities"", ""General-purpose industrial machinery""]",mecc_y2y23_parent,2025-08-13T02:55:42.953140,2025-08-13T02:55:42.953140,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
MECC 63M1 2-Pole Three-Phase Motor,electric_motor,MECC Y2/Y23,63M1-2P,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/mecc_motor.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/mecc_motor.pdf,"MECC Y2/Y23 Series IEC-frame three-phase asynchronous squirrel-cage motors designed for reliable S1 continuous duty, offering multiple pole options (2/4/6/8/10) and 50/60 Hz operation. Rugged cast-iron construction, precision-balanced rotors, and standardized IEC dimensions support easy installation and maintenance across a wide range of industrial applications.","{""Frame No"": ""63M1"", ""Poles"": 2, ""kW"": 0.18, ""Rated RPM (50Hz)"": 2900, ""Rated RPM (60Hz)"": 3450, ""Voltage Options"": [""220/380V"", ""230/400V"", ""400/690V""], ""Frequency"": [""50 Hz"", ""60 Hz""], ""Mounting"": [""B3"", ""B5"", ""B35""]}","{""Mountings"": [""B3"", ""B5"", ""B35""], ""Note"": ""Refer to catalog pages 4\u20136 for frame-specific mounting dimensions.""}","[""Cast-iron housing with high mechanical strength"", ""Precision-balanced rotor for smooth, low-noise operation"", ""Wide frame coverage (63\u2013355) and 0.12\u2013315 kW range"", ""Multiple mountings: B3 (foot), B5 (flange), B35 (foot + flange)"", ""Dual-frequency 50/60 Hz for global use"", ""IP55 protection and Class F insulation (typical)"", ""High starting torque with good overload capacity"", ""IEC-standardized dimensions for easy replacement""]","[""Pumps for clean/process/irrigation water systems"", ""Fans and blowers for ventilation and air handling"", ""Air/gas compressors for industrial service"", ""Conveyors and material handling lines"", ""Mixers, crushers, grinders, and machine tools"", ""HVAC equipment in commercial/industrial facilities"", ""General-purpose industrial machinery""]",mecc_63m1_2p,2025-08-13T02:55:42.953140,2025-08-13T02:55:42.953140,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
MECC 63M1 4-Pole Three-Phase Motor,electric_motor,MECC Y2/Y23,63M1-4P,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/mecc_motor.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/mecc_motor.pdf,"MECC Y2/Y23 Series IEC-frame three-phase asynchronous squirrel-cage motors designed for reliable S1 continuous duty, offering multiple pole options (2/4/6/8/10) and 50/60 Hz operation. Rugged cast-iron construction, precision-balanced rotors, and standardized IEC dimensions support easy installation and maintenance across a wide range of industrial applications.","{""Frame No"": ""63M1"", ""Poles"": 4, ""kW"": 0.12, ""Rated RPM (50Hz)"": 1450, ""Rated RPM (60Hz)"": 1730, ""Voltage Options"": [""220/380V"", ""230/400V"", ""400/690V""], ""Frequency"": [""50 Hz"", ""60 Hz""], ""Mounting"": [""B3"", ""B5"", ""B35""]}","{""Mountings"": [""B3"", ""B5"", ""B35""], ""Note"": ""Refer to catalog pages 4\u20136 for frame-specific mounting dimensions.""}","[""Cast-iron housing with high mechanical strength"", ""Precision-balanced rotor for smooth, low-noise operation"", ""Wide frame coverage (63\u2013355) and 0.12\u2013315 kW range"", ""Multiple mountings: B3 (foot), B5 (flange), B35 (foot + flange)"", ""Dual-frequency 50/60 Hz for global use"", ""IP55 protection and Class F insulation (typical)"", ""High starting torque with good overload capacity"", ""IEC-standardized dimensions for easy replacement""]","[""Pumps for clean/process/irrigation water systems"", ""Fans and blowers for ventilation and air handling"", ""Air/gas compressors for industrial service"", ""Conveyors and material handling lines"", ""Mixers, crushers, grinders, and machine tools"", ""HVAC equipment in commercial/industrial facilities"", ""General-purpose industrial machinery""]",mecc_63m1_4p,2025-08-13T02:55:42.953140,2025-08-13T02:55:42.953140,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
MECC 63M2 2-Pole Three-Phase Motor,electric_motor,MECC Y2/Y23,63M2-2P,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/mecc_motor.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/mecc_motor.pdf,"MECC Y2/Y23 Series IEC-frame three-phase asynchronous squirrel-cage motors designed for reliable S1 continuous duty, offering multiple pole options (2/4/6/8/10) and 50/60 Hz operation. Rugged cast-iron construction, precision-balanced rotors, and standardized IEC dimensions support easy installation and maintenance across a wide range of industrial applications.","{""Frame No"": ""63M2"", ""Poles"": 2, ""kW"": 0.25, ""Rated RPM (50Hz)"": 2900, ""Rated RPM (60Hz)"": 3450, ""Voltage Options"": [""220/380V"", ""230/400V"", ""400/690V""], ""Frequency"": [""50 Hz"", ""60 Hz""], ""Mounting"": [""B3"", ""B5"", ""B35""]}","{""Mountings"": [""B3"", ""B5"", ""B35""], ""Note"": ""Refer to catalog pages 4\u20136 for frame-specific mounting dimensions.""}","[""Cast-iron housing with high mechanical strength"", ""Precision-balanced rotor for smooth, low-noise operation"", ""Wide frame coverage (63\u2013355) and 0.12\u2013315 kW range"", ""Multiple mountings: B3 (foot), B5 (flange), B35 (foot + flange)"", ""Dual-frequency 50/60 Hz for global use"", ""IP55 protection and Class F insulation (typical)"", ""High starting torque with good overload capacity"", ""IEC-standardized dimensions for easy replacement""]","[""Pumps for clean/process/irrigation water systems"", ""Fans and blowers for ventilation and air handling"", ""Air/gas compressors for industrial service"", ""Conveyors and material handling lines"", ""Mixers, crushers, grinders, and machine tools"", ""HVAC equipment in commercial/industrial facilities"", ""General-purpose industrial machinery""]",mecc_63m2_2p,2025-08-13T02:55:42.953140,2025-08-13T02:55:42.953140,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
MECC 63M2 4-Pole Three-Phase Motor,electric_motor,MECC Y2/Y23,63M2-4P,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/mecc_motor.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/mecc_motor.pdf,"MECC Y2/Y23 Series IEC-frame three-phase asynchronous squirrel-cage motors designed for reliable S1 continuous duty, offering multiple pole options (2/4/6/8/10) and 50/60 Hz operation. Rugged cast-iron construction, precision-balanced rotors, and standardized IEC dimensions support easy installation and maintenance across a wide range of industrial applications.","{""Frame No"": ""63M2"", ""Poles"": 4, ""kW"": 0.18, ""Rated RPM (50Hz)"": 1450, ""Rated RPM (60Hz)"": 1730, ""Voltage Options"": [""220/380V"", ""230/400V"", ""400/690V""], ""Frequency"": [""50 Hz"", ""60 Hz""], ""Mounting"": [""B3"", ""B5"", ""B35""]}","{""Mountings"": [""B3"", ""B5"", ""B35""], ""Note"": ""Refer to catalog pages 4\u20136 for frame-specific mounting dimensions.""}","[""Cast-iron housing with high mechanical strength"", ""Precision-balanced rotor for smooth, low-noise operation"", ""Wide frame coverage (63\u2013355) and 0.12\u2013315 kW range"", ""Multiple mountings: B3 (foot), B5 (flange), B35 (foot + flange)"", ""Dual-frequency 50/60 Hz for global use"", ""IP55 protection and Class F insulation (typical)"", ""High starting torque with good overload capacity"", ""IEC-standardized dimensions for easy replacement""]","[""Pumps for clean/process/irrigation water systems"", ""Fans and blowers for ventilation and air handling"", ""Air/gas compressors for industrial service"", ""Conveyors and material handling lines"", ""Mixers, crushers, grinders, and machine tools"", ""HVAC equipment in commercial/industrial facilities"", ""General-purpose industrial machinery""]",mecc_63m2_4p,2025-08-13T02:55:42.953140,2025-08-13T02:55:42.953140,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
MECC 71M1 2-Pole Three-Phase Motor,electric_motor,MECC Y2/Y23,71M1-2P,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/mecc_motor.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/mecc_motor.pdf,"MECC Y2/Y23 Series IEC-frame three-phase asynchronous squirrel-cage motors designed for reliable S1 continuous duty, offering multiple pole options (2/4/6/8/10) and 50/60 Hz operation. Rugged cast-iron construction, precision-balanced rotors, and standardized IEC dimensions support easy installation and maintenance across a wide range of industrial applications.","{""Frame No"": ""71M1"", ""Poles"": 2, ""kW"": 0.37, ""Rated RPM (50Hz)"": 2900, ""Rated RPM (60Hz)"": 3450, ""Voltage Options"": [""220/380V"", ""230/400V"", ""400/690V""], ""Frequency"": [""50 Hz"", ""60 Hz""], ""Mounting"": [""B3"", ""B5"", ""B35""]}","{""Mountings"": [""B3"", ""B5"", ""B35""], ""Note"": ""Refer to catalog pages 4\u20136 for frame-specific mounting dimensions.""}","[""Cast-iron housing with high mechanical strength"", ""Precision-balanced rotor for smooth, low-noise operation"", ""Wide frame coverage (63\u2013355) and 0.12\u2013315 kW range"", ""Multiple mountings: B3 (foot), B5 (flange), B35 (foot + flange)"", ""Dual-frequency 50/60 Hz for global use"", ""IP55 protection and Class F insulation (typical)"", ""High starting torque with good overload capacity"", ""IEC-standardized dimensions for easy replacement""]","[""Pumps for clean/process/irrigation water systems"", ""Fans and blowers for ventilation and air handling"", ""Air/gas compressors for industrial service"", ""Conveyors and material handling lines"", ""Mixers, crushers, grinders, and machine tools"", ""HVAC equipment in commercial/industrial facilities"", ""General-purpose industrial machinery""]",mecc_71m1_2p,2025-08-13T02:55:42.953140,2025-08-13T02:55:42.953140,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
MECC 71M1 4-Pole Three-Phase Motor,electric_motor,MECC Y2/Y23,71M1-4P,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/mecc_motor.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/mecc_motor.pdf,"MECC Y2/Y23 Series IEC-frame three-phase asynchronous squirrel-cage motors designed for reliable S1 continuous duty, offering multiple pole options (2/4/6/8/10) and 50/60 Hz operation. Rugged cast-iron construction, precision-balanced rotors, and standardized IEC dimensions support easy installation and maintenance across a wide range of industrial applications.","{""Frame No"": ""71M1"", ""Poles"": 4, ""kW"": 0.25, ""Rated RPM (50Hz)"": 1450, ""Rated RPM (60Hz)"": 1730, ""Voltage Options"": [""220/380V"", ""230/400V"", ""400/690V""], ""Frequency"": [""50 Hz"", ""60 Hz""], ""Mounting"": [""B3"", ""B5"", ""B35""]}","{""Mountings"": [""B3"", ""B5"", ""B35""], ""Note"": ""Refer to catalog pages 4\u20136 for frame-specific mounting dimensions.""}","[""Cast-iron housing with high mechanical strength"", ""Precision-balanced rotor for smooth, low-noise operation"", ""Wide frame coverage (63\u2013355) and 0.12\u2013315 kW range"", ""Multiple mountings: B3 (foot), B5 (flange), B35 (foot + flange)"", ""Dual-frequency 50/60 Hz for global use"", ""IP55 protection and Class F insulation (typical)"", ""High starting torque with good overload capacity"", ""IEC-standardized dimensions for easy replacement""]","[""Pumps for clean/process/irrigation water systems"", ""Fans and blowers for ventilation and air handling"", ""Air/gas compressors for industrial service"", ""Conveyors and material handling lines"", ""Mixers, crushers, grinders, and machine tools"", ""HVAC equipment in commercial/industrial facilities"", ""General-purpose industrial machinery""]",mecc_71m1_4p,2025-08-13T02:55:42.953140,2025-08-13T02:55:42.953140,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
MECC 71M1 6-Pole Three-Phase Motor,electric_motor,MECC Y2/Y23,71M1-6P,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/mecc_motor.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/mecc_motor.pdf,"MECC Y2/Y23 Series IEC-frame three-phase asynchronous squirrel-cage motors designed for reliable S1 continuous duty, offering multiple pole options (2/4/6/8/10) and 50/60 Hz operation. Rugged cast-iron construction, precision-balanced rotors, and standardized IEC dimensions support easy installation and maintenance across a wide range of industrial applications.","{""Frame No"": ""71M1"", ""Poles"": 6, ""kW"": 0.18, ""Rated RPM (50Hz)"": 960, ""Rated RPM (60Hz)"": 1140, ""Voltage Options"": [""220/380V"", ""230/400V"", ""400/690V""], ""Frequency"": [""50 Hz"", ""60 Hz""], ""Mounting"": [""B3"", ""B5"", ""B35""]}","{""Mountings"": [""B3"", ""B5"", ""B35""], ""Note"": ""Refer to catalog pages 4\u20136 for frame-specific mounting dimensions.""}","[""Cast-iron housing with high mechanical strength"", ""Precision-balanced rotor for smooth, low-noise operation"", ""Wide frame coverage (63\u2013355) and 0.12\u2013315 kW range"", ""Multiple mountings: B3 (foot), B5 (flange), B35 (foot + flange)"", ""Dual-frequency 50/60 Hz for global use"", ""IP55 protection and Class F insulation (typical)"", ""High starting torque with good overload capacity"", ""IEC-standardized dimensions for easy replacement""]","[""Pumps for clean/process/irrigation water systems"", ""Fans and blowers for ventilation and air handling"", ""Air/gas compressors for industrial service"", ""Conveyors and material handling lines"", ""Mixers, crushers, grinders, and machine tools"", ""HVAC equipment in commercial/industrial facilities"", ""General-purpose industrial machinery""]",mecc_71m1_6p,2025-08-13T02:55:42.953140,2025-08-13T02:55:42.953140,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
MECC 71M2 2-Pole Three-Phase Motor,electric_motor,MECC Y2/Y23,71M2-2P,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/mecc_motor.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/mecc_motor.pdf,"MECC Y2/Y23 Series IEC-frame three-phase asynchronous squirrel-cage motors designed for reliable S1 continuous duty, offering multiple pole options (2/4/6/8/10) and 50/60 Hz operation. Rugged cast-iron construction, precision-balanced rotors, and standardized IEC dimensions support easy installation and maintenance across a wide range of industrial applications.","{""Frame No"": ""71M2"", ""Poles"": 2, ""kW"": 0.55, ""Rated RPM (50Hz)"": 2900, ""Rated RPM (60Hz)"": 3450, ""Voltage Options"": [""220/380V"", ""230/400V"", ""400/690V""], ""Frequency"": [""50 Hz"", ""60 Hz""], ""Mounting"": [""B3"", ""B5"", ""B35""]}","{""Mountings"": [""B3"", ""B5"", ""B35""], ""Note"": ""Refer to catalog pages 4\u20136 for frame-specific mounting dimensions.""}","[""Cast-iron housing with high mechanical strength"", ""Precision-balanced rotor for smooth, low-noise operation"", ""Wide frame coverage (63\u2013355) and 0.12\u2013315 kW range"", ""Multiple mountings: B3 (foot), B5 (flange), B35 (foot + flange)"", ""Dual-frequency 50/60 Hz for global use"", ""IP55 protection and Class F insulation (typical)"", ""High starting torque with good overload capacity"", ""IEC-standardized dimensions for easy replacement""]","[""Pumps for clean/process/irrigation water systems"", ""Fans and blowers for ventilation and air handling"", ""Air/gas compressors for industrial service"", ""Conveyors and material handling lines"", ""Mixers, crushers, grinders, and machine tools"", ""HVAC equipment in commercial/industrial facilities"", ""General-purpose industrial machinery""]",mecc_71m2_2p,2025-08-13T02:55:42.953140,2025-08-13T02:55:42.953140,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
MECC 71M2 4-Pole Three-Phase Motor,electric_motor,MECC Y2/Y23,71M2-4P,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/mecc_motor.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/mecc_motor.pdf,"MECC Y2/Y23 Series IEC-frame three-phase asynchronous squirrel-cage motors designed for reliable S1 continuous duty, offering multiple pole options (2/4/6/8/10) and 50/60 Hz operation. Rugged cast-iron construction, precision-balanced rotors, and standardized IEC dimensions support easy installation and maintenance across a wide range of industrial applications.","{""Frame No"": ""71M2"", ""Poles"": 4, ""kW"": 0.37, ""Rated RPM (50Hz)"": 1450, ""Rated RPM (60Hz)"": 1730, ""Voltage Options"": [""220/380V"", ""230/400V"", ""400/690V""], ""Frequency"": [""50 Hz"", ""60 Hz""], ""Mounting"": [""B3"", ""B5"", ""B35""]}","{""Mountings"": [""B3"", ""B5"", ""B35""], ""Note"": ""Refer to catalog pages 4\u20136 for frame-specific mounting dimensions.""}","[""Cast-iron housing with high mechanical strength"", ""Precision-balanced rotor for smooth, low-noise operation"", ""Wide frame coverage (63\u2013355) and 0.12\u2013315 kW range"", ""Multiple mountings: B3 (foot), B5 (flange), B35 (foot + flange)"", ""Dual-frequency 50/60 Hz for global use"", ""IP55 protection and Class F insulation (typical)"", ""High starting torque with good overload capacity"", ""IEC-standardized dimensions for easy replacement""]","[""Pumps for clean/process/irrigation water systems"", ""Fans and blowers for ventilation and air handling"", ""Air/gas compressors for industrial service"", ""Conveyors and material handling lines"", ""Mixers, crushers, grinders, and machine tools"", ""HVAC equipment in commercial/industrial facilities"", ""General-purpose industrial machinery""]",mecc_71m2_4p,2025-08-13T02:55:42.953140,2025-08-13T02:55:42.953140,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
