page,model_candidate,line_text,ocr_score
2,ECO28,ECO28,0.7788001000881195
2,ECO28S,ECO28S/4,0.8222484257486131
2,ECO281L,ECO281L/4,0.8608040809631348
2,ECO282L,ECO282L/4,0.8681875169277191
2,ECO28VL,ECO28VL/4,0.8937889933586121
3,ECO 32,ECO 32,0.6943353244236538
3,ECO32-2S,ECO32-2S/4,0.8873841166496277
3,ECO32-3S,ECO32-3S/4,0.8874354958534241
3,ECO32-1L,ECO32-1L/4,0.869228953664953
3,ECO 32-2L,ECO 32-2L/4,0.8551887174447378
3,ECO32-3L,ECO32-3L/4,0.8551655032417991
3,ECO32-2L,ECO32-2L/4,0.8245575102892789
3,ECO 32-3L,ECO 32-3L/4,0.8630676170190176
4,ECP34,ECP34,0.7480231324831644
4,ECP341S,ECP341S,0.8066686615347862
4,ECP342S,ECP342S,0.8654590398073196
4,ECP341L,ECP341L,0.8680068999528885
4,ECP342L,ECP342L,0.8401023000478745
5,ECO38N,ECO38N,0.8519020165715899
5,ECO38-1SN,ECO38-1SN,0.8322552680969239
5,ECO38-2SN,ECO38-2SN,0.8394188046455383
5,ECO38-3SN,ECO38-3SN,0.8895494043827057
5,ECO38-1LN,ECO38-1LN,0.8466898262500763
5,ECO38-2LN,ECO38-2LN,0.8914794206619263
5,ECO38-3LN,ECO38-3LN,0.8423407137393951
