name,category,series,model,image_url,pdf_url,description,technical_specifications,dimension_specifications,features,applications,id,created_date,updated_date,created_by_id,created_by,is_sample
T2W3 Series Synchronous Alternator,alternators,T2W3,,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/t2w3_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/t2w3_alternator.pdf,"T2W3 series three‑phase, 3‑wire star‑connected synchronous alternators with WT‑2 AVR. Rated voltage 400V, 50Hz, 1500rpm, power factor 0.8 (lagging). Designed to GB/T765 standards with compact mounting options (IMB34/IMB3) and damper windings for reliable performance.","{""Voltage"": ""400 V"", ""Frequency"": ""50 Hz"", ""RPM"": ""1500 rpm"", ""Power Factor"": ""0.8 (lagging)"", ""kVA"": ""12 - 313"", ""kW"": ""12 - 250"", ""Efficiency"": ""up to 92.8%"", ""AVR"": ""WT-2"", ""Static Voltage Regulation"": ""≤ ±2.5%"", ""Voltage Waveform Distortion"": ""≤ 5%"", ""Dynamic Voltage Regulation"": ""+15%/−20% (≤1 s)"", ""Short-time Overcurrent"": ""150% for 15 s"", ""Overload (1h)"": ""110%"", ""Frame Sizes"": ""180S to 355M""}","{""Mounting"":""IMB34 / IMB3 (foot & small flange options)"",""Frame Size Range"":""180S to 355M"",""Note"":""See catalog mounting table for A, B, C, D, E, etc.""}","[""Automatic voltage regulation (WT-2 AVR)"",""High efficiency up to 92.8%"",""Stable output with low waveform distortion"",""Rugged design with damper windings"",""Flexible mounting (IMB34/IMB3)""]","[""Diesel generator sets"",""Prime and standby industrial power"",""Mobile generator units"",""Construction and mining power""]",t2w3_20250808041640,2025-08-08T04:16:40.760395,2025-08-08T04:16:40.760406,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
T2W3-12 Synchronous Alternator,alternators,T2W3,T2W3-12,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/t2w3_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/t2w3_alternator.pdf,"Three‑phase star‑connected synchronous alternator with WT‑2 AVR. Rated 400V, 50Hz, 1500rpm, PF 0.8 (lagging). Built to GB/T765 with compact IMB34/IMB3 mounting and damper windings for reliable performance.","{""Voltage"": ""400 V"", ""Frequency"": ""50 Hz"", ""RPM"": ""1500 rpm"", ""Power Factor"": ""0.8 (lagging)"", ""kVA"": ""15"", ""kW"": ""12"", ""Current (A)"": ""21.7"", ""Efficiency (%)"": ""85.0"", ""Input P.F"": ""18.9"", ""GD^2 (kg·m^2)"": ""1.49"", ""Static Voltage Regulation"": ""≤ ±2.5%"", ""Voltage Waveform Distortion"": ""≤ 5%"", ""Dynamic Voltage Regulation"": ""+15%/−20% (≤1 s)"", ""Short-time Overcurrent"": ""150% for 15 s"", ""Overload (1h)"": ""110%""}","{""Mounting"":""IMB34 / IMB3 (foot & small flange)"",""Frame Size"":""180S"",""Note"":""See catalog mounting table for A, B, C, D, E, etc.""}","[""Automatic voltage regulation (WT-2 AVR)"",""High efficiency"",""Low waveform distortion"",""Rugged design with damper windings"",""Flexible mounting (IMB34/IMB3)""]","[""Diesel generator sets"",""Prime and standby industrial power"",""Mobile generator units"",""Construction and mining power""]",t2w3_t2w312,2025-08-08T17:32:26.788213,2025-08-08T17:32:26.788213,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
T2W3-16 Synchronous Alternator,alternators,T2W3,T2W3-16,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/t2w3_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/t2w3_alternator.pdf,"Three‑phase star‑connected synchronous alternator with WT‑2 AVR. Rated 400V, 50Hz, 1500rpm, PF 0.8 (lagging). Built to GB/T765 with compact IMB34/IMB3 mounting and damper windings for reliable performance.","{""Voltage"": ""400 V"", ""Frequency"": ""50 Hz"", ""RPM"": ""1500 rpm"", ""Power Factor"": ""0.8 (lagging)"", ""kVA"": ""20"", ""kW"": ""16"", ""Current (A)"": ""28.9"", ""Efficiency (%)"": ""86.5"", ""Input P.F"": ""24.8"", ""GD^2 (kg·m^2)"": ""1.86"", ""Static Voltage Regulation"": ""≤ ±2.5%"", ""Voltage Waveform Distortion"": ""≤ 5%"", ""Dynamic Voltage Regulation"": ""+15%/−20% (≤1 s)"", ""Short-time Overcurrent"": ""150% for 15 s"", ""Overload (1h)"": ""110%""}","{""Mounting"":""IMB34 / IMB3 (foot & small flange)"",""Frame Size"":""180M"",""Note"":""See catalog mounting table for A, B, C, D, E, etc.""}","[""Automatic voltage regulation (WT-2 AVR)"",""High efficiency"",""Low waveform distortion"",""Rugged design with damper windings"",""Flexible mounting (IMB34/IMB3)""]","[""Diesel generator sets"",""Prime and standby industrial power"",""Mobile generator units"",""Construction and mining power""]",t2w3_t2w316,2025-08-08T17:32:26.788213,2025-08-08T17:32:26.788213,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
T2W3-20 Synchronous Alternator,alternators,T2W3,T2W3-20,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/t2w3_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/t2w3_alternator.pdf,"Three‑phase star‑connected synchronous alternator with WT‑2 AVR. Rated 400V, 50Hz, 1500rpm, PF 0.8 (lagging). Built to GB/T765 with compact IMB34/IMB3 mounting and damper windings for reliable performance.","{""Voltage"": ""400 V"", ""Frequency"": ""50 Hz"", ""RPM"": ""1500 rpm"", ""Power Factor"": ""0.8 (lagging)"", ""kVA"": ""25"", ""kW"": ""20"", ""Current (A)"": ""36.1"", ""Efficiency (%)"": ""87.5"", ""Input P.F"": ""30.6"", ""GD^2 (kg·m^2)"": ""2.27"", ""Static Voltage Regulation"": ""≤ ±2.5%"", ""Voltage Waveform Distortion"": ""≤ 5%"", ""Dynamic Voltage Regulation"": ""+15%/−20% (≤1 s)"", ""Short-time Overcurrent"": ""150% for 15 s"", ""Overload (1h)"": ""110%""}","{""Mounting"":""IMB34 / IMB3 (foot & small flange)"",""Frame Size"":""200S"",""Note"":""See catalog mounting table for A, B, C, D, E, etc.""}","[""Automatic voltage regulation (WT-2 AVR)"",""High efficiency"",""Low waveform distortion"",""Rugged design with damper windings"",""Flexible mounting (IMB34/IMB3)""]","[""Diesel generator sets"",""Prime and standby industrial power"",""Mobile generator units"",""Construction and mining power""]",t2w3_t2w320,2025-08-08T17:32:26.788213,2025-08-08T17:32:26.788213,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
T2W3-24 Synchronous Alternator,alternators,T2W3,T2W3-24,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/t2w3_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/t2w3_alternator.pdf,"Three‑phase star‑connected synchronous alternator with WT‑2 AVR. Rated 400V, 50Hz, 1500rpm, PF 0.8 (lagging). Built to GB/T765 with compact IMB34/IMB3 mounting and damper windings for reliable performance.","{""Voltage"": ""400 V"", ""Frequency"": ""50 Hz"", ""RPM"": ""1500 rpm"", ""Power Factor"": ""0.8 (lagging)"", ""kVA"": ""30"", ""kW"": ""24"", ""Current (A)"": ""43.3"", ""Efficiency (%)"": ""88.5"", ""Input P.F"": ""36.4"", ""GD^2 (kg·m^2)"": ""2.62"", ""Static Voltage Regulation"": ""≤ ±2.5%"", ""Voltage Waveform Distortion"": ""≤ 5%"", ""Dynamic Voltage Regulation"": ""+15%/−20% (≤1 s)"", ""Short-time Overcurrent"": ""150% for 15 s"", ""Overload (1h)"": ""110%""}","{""Mounting"":""IMB34 / IMB3 (foot & small flange)"",""Frame Size"":""200M"",""Note"":""See catalog mounting table for A, B, C, D, E, etc.""}","[""Automatic voltage regulation (WT-2 AVR)"",""High efficiency"",""Low waveform distortion"",""Rugged design with damper windings"",""Flexible mounting (IMB34/IMB3)""]","[""Diesel generator sets"",""Prime and standby industrial power"",""Mobile generator units"",""Construction and mining power""]",t2w3_t2w324,2025-08-08T17:32:26.788213,2025-08-08T17:32:26.788213,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
T2W3-30 Synchronous Alternator,alternators,T2W3,T2W3-30,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/t2w3_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/t2w3_alternator.pdf,"Three‑phase star‑connected synchronous alternator with WT‑2 AVR. Rated 400V, 50Hz, 1500rpm, PF 0.8 (lagging). Built to GB/T765 with compact IMB34/IMB3 mounting and damper windings for reliable performance.","{""Voltage"": ""400 V"", ""Frequency"": ""50 Hz"", ""RPM"": ""1500 rpm"", ""Power Factor"": ""0.8 (lagging)"", ""kVA"": ""37.5"", ""kW"": ""30"", ""Current (A)"": ""54.1"", ""Efficiency (%)"": ""89.0"", ""Input P.F"": ""45.2"", ""GD^2 (kg·m^2)"": ""3.61"", ""Static Voltage Regulation"": ""≤ ±2.5%"", ""Voltage Waveform Distortion"": ""≤ 5%"", ""Dynamic Voltage Regulation"": ""+15%/−20% (≤1 s)"", ""Short-time Overcurrent"": ""150% for 15 s"", ""Overload (1h)"": ""110%""}","{""Mounting"":""IMB34 / IMB3 (foot & small flange)"",""Frame Size"":""225S"",""Note"":""See catalog mounting table for A, B, C, D, E, etc.""}","[""Automatic voltage regulation (WT-2 AVR)"",""High efficiency"",""Low waveform distortion"",""Rugged design with damper windings"",""Flexible mounting (IMB34/IMB3)""]","[""Diesel generator sets"",""Prime and standby industrial power"",""Mobile generator units"",""Construction and mining power""]",t2w3_t2w330,2025-08-08T17:32:26.788213,2025-08-08T17:32:26.788213,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
T2W3-40 Synchronous Alternator,alternators,T2W3,T2W3-40,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/t2w3_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/t2w3_alternator.pdf,"Three‑phase star‑connected synchronous alternator with WT‑2 AVR. Rated 400V, 50Hz, 1500rpm, PF 0.8 (lagging). Built to GB/T765 with compact IMB34/IMB3 mounting and damper windings for reliable performance.","{""Voltage"": ""400 V"", ""Frequency"": ""50 Hz"", ""RPM"": ""1500 rpm"", ""Power Factor"": ""0.8 (lagging)"", ""kVA"": ""50"", ""kW"": ""40"", ""Current (A)"": ""72.2"", ""Efficiency (%)"": ""90.0"", ""Input P.F"": ""59.6"", ""GD^2 (kg·m^2)"": ""4.36"", ""Static Voltage Regulation"": ""≤ ±2.5%"", ""Voltage Waveform Distortion"": ""≤ 5%"", ""Dynamic Voltage Regulation"": ""+15%/−20% (≤1 s)"", ""Short-time Overcurrent"": ""150% for 15 s"", ""Overload (1h)"": ""110%""}","{""Mounting"":""IMB34 / IMB3 (foot & small flange)"",""Frame Size"":""225M"",""Note"":""See catalog mounting table for A, B, C, D, E, etc.""}","[""Automatic voltage regulation (WT-2 AVR)"",""High efficiency"",""Low waveform distortion"",""Rugged design with damper windings"",""Flexible mounting (IMB34/IMB3)""]","[""Diesel generator sets"",""Prime and standby industrial power"",""Mobile generator units"",""Construction and mining power""]",t2w3_t2w340,2025-08-08T17:32:26.788213,2025-08-08T17:32:26.788213,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
T2W3-50 Synchronous Alternator,alternators,T2W3,T2W3-50,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/t2w3_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/t2w3_alternator.pdf,"Three‑phase star‑connected synchronous alternator with WT‑2 AVR. Rated 400V, 50Hz, 1500rpm, PF 0.8 (lagging). Built to GB/T765 with compact IMB34/IMB3 mounting and damper windings for reliable performance.","{""Voltage"": ""400 V"", ""Frequency"": ""50 Hz"", ""RPM"": ""1500 rpm"", ""Power Factor"": ""0.8 (lagging)"", ""kVA"": ""62.5"", ""kW"": ""50"", ""Current (A)"": ""90.2"", ""Efficiency (%)"": ""90.5"", ""Input P.F"": ""74.1"", ""GD^2 (kg·m^2)"": ""4.97"", ""Static Voltage Regulation"": ""≤ ±2.5%"", ""Voltage Waveform Distortion"": ""≤ 5%"", ""Dynamic Voltage Regulation"": ""+15%/−20% (≤1 s)"", ""Short-time Overcurrent"": ""150% for 15 s"", ""Overload (1h)"": ""110%""}","{""Mounting"":""IMB34 / IMB3 (foot & small flange)"",""Frame Size"":""225L"",""Note"":""See catalog mounting table for A, B, C, D, E, etc.""}","[""Automatic voltage regulation (WT-2 AVR)"",""High efficiency"",""Low waveform distortion"",""Rugged design with damper windings"",""Flexible mounting (IMB34/IMB3)""]","[""Diesel generator sets"",""Prime and standby industrial power"",""Mobile generator units"",""Construction and mining power""]",t2w3_t2w350,2025-08-08T17:32:26.788213,2025-08-08T17:32:26.788213,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
T2W3-64 Synchronous Alternator,alternators,T2W3,T2W3-64,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/t2w3_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/t2w3_alternator.pdf,"Three‑phase star‑connected synchronous alternator with WT‑2 AVR. Rated 400V, 50Hz, 1500rpm, PF 0.8 (lagging). Built to GB/T765 with compact IMB34/IMB3 mounting and damper windings for reliable performance.","{""Voltage"": ""400 V"", ""Frequency"": ""50 Hz"", ""RPM"": ""1500 rpm"", ""Power Factor"": ""0.8 (lagging)"", ""kVA"": ""80"", ""kW"": ""64"", ""Current (A)"": ""115"", ""Efficiency (%)"": ""91.0"", ""Input P.F"": ""94.3"", ""GD^2 (kg·m^2)"": ""7.9"", ""Static Voltage Regulation"": ""≤ ±2.5%"", ""Voltage Waveform Distortion"": ""≤ 5%"", ""Dynamic Voltage Regulation"": ""+15%/−20% (≤1 s)"", ""Short-time Overcurrent"": ""150% for 15 s"", ""Overload (1h)"": ""110%""}","{""Mounting"":""IMB34 / IMB3 (foot & small flange)"",""Frame Size"":""250M"",""Note"":""See catalog mounting table for A, B, C, D, E, etc.""}","[""Automatic voltage regulation (WT-2 AVR)"",""High efficiency"",""Low waveform distortion"",""Rugged design with damper windings"",""Flexible mounting (IMB34/IMB3)""]","[""Diesel generator sets"",""Prime and standby industrial power"",""Mobile generator units"",""Construction and mining power""]",t2w3_t2w364,2025-08-08T17:32:26.788213,2025-08-08T17:32:26.788213,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
T2W3-75 Synchronous Alternator,alternators,T2W3,T2W3-75,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/t2w3_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/t2w3_alternator.pdf,"Three‑phase star‑connected synchronous alternator with WT‑2 AVR. Rated 400V, 50Hz, 1500rpm, PF 0.8 (lagging). Built to GB/T765 with compact IMB34/IMB3 mounting and damper windings for reliable performance.","{""Voltage"": ""400 V"", ""Frequency"": ""50 Hz"", ""RPM"": ""1500 rpm"", ""Power Factor"": ""0.8 (lagging)"", ""kVA"": ""93.8"", ""kW"": ""75"", ""Current (A)"": ""135"", ""Efficiency (%)"": ""91.4"", ""Input P.F"": ""110"", ""GD^2 (kg·m^2)"": ""8.67"", ""Static Voltage Regulation"": ""≤ ±2.5%"", ""Voltage Waveform Distortion"": ""≤ 5%"", ""Dynamic Voltage Regulation"": ""+15%/−20% (≤1 s)"", ""Short-time Overcurrent"": ""150% for 15 s"", ""Overload (1h)"": ""110%""}","{""Mounting"":""IMB34 / IMB3 (foot & small flange)"",""Frame Size"":""250L"",""Note"":""See catalog mounting table for A, B, C, D, E, etc.""}","[""Automatic voltage regulation (WT-2 AVR)"",""High efficiency"",""Low waveform distortion"",""Rugged design with damper windings"",""Flexible mounting (IMB34/IMB3)""]","[""Diesel generator sets"",""Prime and standby industrial power"",""Mobile generator units"",""Construction and mining power""]",t2w3_t2w375,2025-08-08T17:32:26.788213,2025-08-08T17:32:26.788213,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
