name,category,series,model,image_url,pdf_url,description,technical_specifications,dimension_specifications,features,applications,id,created_date,updated_date,created_by_id,created_by,is_sample
T2W3-N Series Brushless Synchronous Alternator,alternators,T2W3-N,,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/t2w3n_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/t2w3n_alternator.pdf,"Brushless three-phase synchronous alternators (new series) with WT-2 AVR. 400V, 3-phase, 4-wire. Stable voltage, low distortion, and fast transient recovery across models 20–900.","{""Voltage"": ""400 V"", ""Phase"": ""3-phase, 4-wire"", ""Power Factor"": ""0.8 (lagging)"", ""Frequency"": ""50/60 Hz"", ""RPM"": ""1500 rpm"", ""Voltage Setting Range"": ""±5% Un"", ""Steady Voltage Setting Range"": ""±1%"", ""Transient Voltage Regulation"": ""85% ~ 120% Un, ≤1.5s"", ""THD of Linear Voltage"": ""≤5%"", ""Overload (Hot, 1h)"": ""10%"", ""kVA"": ""25-1125"", ""kW"": ""20-900""}","{""Frames"":""200S, 225M, 225L, 250S, 250L, 315M, 315L, 355M, 355L, 400M, 400L"",""Mounting"":""Single/Double bearings, SAE flange or plate coupler"",""Note"":""See dimension diagrams for detailed A,B,C… values""}","[""Brushless design"",""WT-2 AVR"",""Low waveform distortion"",""Fast voltage recovery"",""Industrial-grade build""]","[""Diesel generator sets"",""Prime/standby power"",""Industrial/mobile power units""]",t2w3n_parent,2025-08-09T19:33:29.603677,2025-08-09T19:33:29.603677,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
T2W3-N 20 Synchronous Alternator,alternators,T2W3-N,T2W3-N-20,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/t2w3n_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/t2w3n_alternator.pdf,"Brushless three-phase synchronous alternator with WT-2 AVR. Stable voltage, low distortion, fast transient recovery.","{""Voltage"": ""400 V"", ""Frequency"": ""50/60 Hz"", ""RPM"": ""1500 rpm"", ""Power Factor"": ""0.8 (lag)"", ""kVA"": ""25"", ""kW"": ""20"", ""Rated Current (A)"": ""36"", ""Efficiency (%)"": ""81.0"", ""Weight (kg)"": ""218"", ""Voltage Setting Range"": ""±5% Un"", ""Steady Voltage Setting Range"": ""±1%"", ""Transient Voltage Regulation"": ""85% ~ 120% Un, ≤1.5s"", ""THD of Linear Voltage"": ""≤5%"", ""Overload (Hot, 1h)"": ""10%""}","{""Frame"":""200S"",""Mounting"":""Single/Double bearings, SAE flange or plate coupler"",""Note"":""See T2W3-N diagrams for A,B,C… values""}","[""Brushless design"",""WT-2 AVR"",""Low waveform distortion"",""Fast voltage recovery"",""Industrial-grade build""]","[""Diesel generator sets"",""Prime/standby power"",""Industrial/mobile power units""]",t2w3n_t2w3n20,2025-08-09T19:33:29.603677,2025-08-09T19:33:29.603677,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
T2W3-N 24 Synchronous Alternator,alternators,T2W3-N,T2W3-N-24,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/t2w3n_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/t2w3n_alternator.pdf,"Brushless three-phase synchronous alternator with WT-2 AVR. Stable voltage, low distortion, fast transient recovery.","{""Voltage"": ""400 V"", ""Frequency"": ""50/60 Hz"", ""RPM"": ""1500 rpm"", ""Power Factor"": ""0.8 (lag)"", ""kVA"": ""30"", ""kW"": ""24"", ""Rated Current (A)"": ""43.3"", ""Efficiency (%)"": ""84.0"", ""Weight (kg)"": ""235"", ""Voltage Setting Range"": ""±5% Un"", ""Steady Voltage Setting Range"": ""±1%"", ""Transient Voltage Regulation"": ""85% ~ 120% Un, ≤1.5s"", ""THD of Linear Voltage"": ""≤5%"", ""Overload (Hot, 1h)"": ""10%""}","{""Frame"":""200S"",""Mounting"":""Single/Double bearings, SAE flange or plate coupler"",""Note"":""See T2W3-N diagrams for A,B,C… values""}","[""Brushless design"",""WT-2 AVR"",""Low waveform distortion"",""Fast voltage recovery"",""Industrial-grade build""]","[""Diesel generator sets"",""Prime/standby power"",""Industrial/mobile power units""]",t2w3n_t2w3n24,2025-08-09T19:33:29.603677,2025-08-09T19:33:29.603677,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
T2W3-N 30 Synchronous Alternator,alternators,T2W3-N,T2W3-N-30,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/t2w3n_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/t2w3n_alternator.pdf,"Brushless three-phase synchronous alternator with WT-2 AVR. Stable voltage, low distortion, fast transient recovery.","{""Voltage"": ""400 V"", ""Frequency"": ""50/60 Hz"", ""RPM"": ""1500 rpm"", ""Power Factor"": ""0.8 (lag)"", ""kVA"": ""37.5"", ""kW"": ""30"", ""Rated Current (A)"": ""54.1"", ""Efficiency (%)"": ""86.0"", ""Weight (kg)"": ""263"", ""Voltage Setting Range"": ""±5% Un"", ""Steady Voltage Setting Range"": ""±1%"", ""Transient Voltage Regulation"": ""85% ~ 120% Un, ≤1.5s"", ""THD of Linear Voltage"": ""≤5%"", ""Overload (Hot, 1h)"": ""10%""}","{""Frame"":""200S"",""Mounting"":""Single/Double bearings, SAE flange or plate coupler"",""Note"":""See T2W3-N diagrams for A,B,C… values""}","[""Brushless design"",""WT-2 AVR"",""Low waveform distortion"",""Fast voltage recovery"",""Industrial-grade build""]","[""Diesel generator sets"",""Prime/standby power"",""Industrial/mobile power units""]",t2w3n_t2w3n30,2025-08-09T19:33:29.603677,2025-08-09T19:33:29.603677,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
T2W3-N 40 Synchronous Alternator,alternators,T2W3-N,T2W3-N-40,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/t2w3n_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/t2w3n_alternator.pdf,"Brushless three-phase synchronous alternator with WT-2 AVR. Stable voltage, low distortion, fast transient recovery.","{""Voltage"": ""400 V"", ""Frequency"": ""50/60 Hz"", ""RPM"": ""1500 rpm"", ""Power Factor"": ""0.8 (lag)"", ""kVA"": ""50"", ""kW"": ""40"", ""Rated Current (A)"": ""72.2"", ""Efficiency (%)"": ""89.0"", ""Weight (kg)"": ""380"", ""Voltage Setting Range"": ""±5% Un"", ""Steady Voltage Setting Range"": ""±1%"", ""Transient Voltage Regulation"": ""85% ~ 120% Un, ≤1.5s"", ""THD of Linear Voltage"": ""≤5%"", ""Overload (Hot, 1h)"": ""10%""}","{""Frame"":""225M"",""Mounting"":""Single/Double bearings, SAE flange or plate coupler"",""Note"":""See T2W3-N diagrams for A,B,C… values""}","[""Brushless design"",""WT-2 AVR"",""Low waveform distortion"",""Fast voltage recovery"",""Industrial-grade build""]","[""Diesel generator sets"",""Prime/standby power"",""Industrial/mobile power units""]",t2w3n_t2w3n40,2025-08-09T19:33:29.603677,2025-08-09T19:33:29.603677,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
T2W3-N 50 Synchronous Alternator,alternators,T2W3-N,T2W3-N-50,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/t2w3n_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/t2w3n_alternator.pdf,"Brushless three-phase synchronous alternator with WT-2 AVR. Stable voltage, low distortion, fast transient recovery.","{""Voltage"": ""400 V"", ""Frequency"": ""50/60 Hz"", ""RPM"": ""1500 rpm"", ""Power Factor"": ""0.8 (lag)"", ""kVA"": ""62.5"", ""kW"": ""50"", ""Rated Current (A)"": ""90.2"", ""Efficiency (%)"": ""90.0"", ""Weight (kg)"": ""420"", ""Voltage Setting Range"": ""±5% Un"", ""Steady Voltage Setting Range"": ""±1%"", ""Transient Voltage Regulation"": ""85% ~ 120% Un, ≤1.5s"", ""THD of Linear Voltage"": ""≤5%"", ""Overload (Hot, 1h)"": ""10%""}","{""Frame"":""225M"",""Mounting"":""Single/Double bearings, SAE flange or plate coupler"",""Note"":""See T2W3-N diagrams for A,B,C… values""}","[""Brushless design"",""WT-2 AVR"",""Low waveform distortion"",""Fast voltage recovery"",""Industrial-grade build""]","[""Diesel generator sets"",""Prime/standby power"",""Industrial/mobile power units""]",t2w3n_t2w3n50,2025-08-09T19:33:29.603677,2025-08-09T19:33:29.603677,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
T2W3-N 64 Synchronous Alternator,alternators,T2W3-N,T2W3-N-64,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/t2w3n_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/t2w3n_alternator.pdf,"Brushless three-phase synchronous alternator with WT-2 AVR. Stable voltage, low distortion, fast transient recovery.","{""Voltage"": ""400 V"", ""Frequency"": ""50/60 Hz"", ""RPM"": ""1500 rpm"", ""Power Factor"": ""0.8 (lag)"", ""kVA"": ""80"", ""kW"": ""64"", ""Rated Current (A)"": ""115"", ""Efficiency (%)"": ""90.2"", ""Weight (kg)"": ""460"", ""Voltage Setting Range"": ""±5% Un"", ""Steady Voltage Setting Range"": ""±1%"", ""Transient Voltage Regulation"": ""85% ~ 120% Un, ≤1.5s"", ""THD of Linear Voltage"": ""≤5%"", ""Overload (Hot, 1h)"": ""10%""}","{""Frame"":""225M"",""Mounting"":""Single/Double bearings, SAE flange or plate coupler"",""Note"":""See T2W3-N diagrams for A,B,C… values""}","[""Brushless design"",""WT-2 AVR"",""Low waveform distortion"",""Fast voltage recovery"",""Industrial-grade build""]","[""Diesel generator sets"",""Prime/standby power"",""Industrial/mobile power units""]",t2w3n_t2w3n64,2025-08-09T19:33:29.603677,2025-08-09T19:33:29.603677,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
T2W3-N 75 Synchronous Alternator,alternators,T2W3-N,T2W3-N-75,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/t2w3n_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/t2w3n_alternator.pdf,"Brushless three-phase synchronous alternator with WT-2 AVR. Stable voltage, low distortion, fast transient recovery.","{""Voltage"": ""400 V"", ""Frequency"": ""50/60 Hz"", ""RPM"": ""1500 rpm"", ""Power Factor"": ""0.8 (lag)"", ""kVA"": ""93.8"", ""kW"": ""75"", ""Rated Current (A)"": ""135"", ""Efficiency (%)"": ""90.3"", ""Weight (kg)"": ""500"", ""Voltage Setting Range"": ""±5% Un"", ""Steady Voltage Setting Range"": ""±1%"", ""Transient Voltage Regulation"": ""85% ~ 120% Un, ≤1.5s"", ""THD of Linear Voltage"": ""≤5%"", ""Overload (Hot, 1h)"": ""10%""}","{""Frame"":""225L"",""Mounting"":""Single/Double bearings, SAE flange or plate coupler"",""Note"":""See T2W3-N diagrams for A,B,C… values""}","[""Brushless design"",""WT-2 AVR"",""Low waveform distortion"",""Fast voltage recovery"",""Industrial-grade build""]","[""Diesel generator sets"",""Prime/standby power"",""Industrial/mobile power units""]",t2w3n_t2w3n75,2025-08-09T19:33:29.603677,2025-08-09T19:33:29.603677,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
T2W3-N 90 Synchronous Alternator,alternators,T2W3-N,T2W3-N-90,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/t2w3n_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/t2w3n_alternator.pdf,"Brushless three-phase synchronous alternator with WT-2 AVR. Stable voltage, low distortion, fast transient recovery.","{""Voltage"": ""400 V"", ""Frequency"": ""50/60 Hz"", ""RPM"": ""1500 rpm"", ""Power Factor"": ""0.8 (lag)"", ""kVA"": ""112.5"", ""kW"": ""90"", ""Rated Current (A)"": ""162"", ""Efficiency (%)"": ""90.5"", ""Weight (kg)"": ""560"", ""Voltage Setting Range"": ""±5% Un"", ""Steady Voltage Setting Range"": ""±1%"", ""Transient Voltage Regulation"": ""85% ~ 120% Un, ≤1.5s"", ""THD of Linear Voltage"": ""≤5%"", ""Overload (Hot, 1h)"": ""10%""}","{""Frame"":""250S"",""Mounting"":""Single/Double bearings, SAE flange or plate coupler"",""Note"":""See T2W3-N diagrams for A,B,C… values""}","[""Brushless design"",""WT-2 AVR"",""Low waveform distortion"",""Fast voltage recovery"",""Industrial-grade build""]","[""Diesel generator sets"",""Prime/standby power"",""Industrial/mobile power units""]",t2w3n_t2w3n90,2025-08-09T19:33:29.603677,2025-08-09T19:33:29.603677,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
T2W3-N 100 Synchronous Alternator,alternators,T2W3-N,T2W3-N-100,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/t2w3n_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/t2w3n_alternator.pdf,"Brushless three-phase synchronous alternator with WT-2 AVR. Stable voltage, low distortion, fast transient recovery.","{""Voltage"": ""400 V"", ""Frequency"": ""50/60 Hz"", ""RPM"": ""1500 rpm"", ""Power Factor"": ""0.8 (lag)"", ""kVA"": ""125"", ""kW"": ""100"", ""Rated Current (A)"": ""180"", ""Efficiency (%)"": ""91.0"", ""Weight (kg)"": ""610"", ""Voltage Setting Range"": ""±5% Un"", ""Steady Voltage Setting Range"": ""±1%"", ""Transient Voltage Regulation"": ""85% ~ 120% Un, ≤1.5s"", ""THD of Linear Voltage"": ""≤5%"", ""Overload (Hot, 1h)"": ""10%""}","{""Frame"":""250S"",""Mounting"":""Single/Double bearings, SAE flange or plate coupler"",""Note"":""See T2W3-N diagrams for A,B,C… values""}","[""Brushless design"",""WT-2 AVR"",""Low waveform distortion"",""Fast voltage recovery"",""Industrial-grade build""]","[""Diesel generator sets"",""Prime/standby power"",""Industrial/mobile power units""]",t2w3n_t2w3n100,2025-08-09T19:33:29.603677,2025-08-09T19:33:29.603677,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
