name,category,series,model,image_url,pdf_url,description,technical_specifications,dimension_specifications,features,applications,id,created_date,updated_date,created_by_id,created_by,is_sample
TZH Series Synchronous Alternator,alternators,TZH,,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/tzh_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/tzh_alternator.pdf,TZH three‑phase synchronous alternators with static excitation and self‑excited constant voltage. Widely used with diesel engines for general‑purpose and standby/emergency generator sets.,"{""Voltage"":""400 V"",""kVA"":""12–250"",""kW"":""9.6–200 (at PF 0.8)"",""RPM"":""1500 rpm"",""Voltage Regulation (uncontrollable)"":""±3%"",""Voltage Regulation (controllable)"":""±1%"",""Waveform Distortion (line voltage)"":""Low"",""Dynamic Characteristics"":""Excellent"",""Start Capability"":""Direct start of large induction motors""}","{""Frames"":""180S,180M,200S,200M,225S,225M,225L,250M,250L,280S,280L,355S,355M"",""Mounting"":""IMB3 overall & mounting dimensions; detailed table available""}","[""Static Excitation"",""Self‑excited, Constant Voltage"",""High Reliability"",""Convenient Maintenance"",""Low line‑voltage distortion"",""Excellent dynamic characteristics"",""Can directly start large induction motors"",""Long working life"",""Reasonable price""]","[""Diesel‑generator sets"",""Mobile electro‑generating units"",""General‑purpose power"",""Stand‑by / emergency power""]",tzh_parent_autofill,2025-08-12T03:15:20.685798,2025-08-12T03:15:20.685798,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
TZH-12 Synchronous Alternator,alternators,TZH,TZH-12,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/tzh_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/tzh_alternator.pdf,TZH series alternator with static excitation and self‑excited constant voltage.,"{""Voltage"":""400 V"",""kVA"":""12.0"",""kW"":""9.6"",""RPM"":""1500 rpm"",""Poles"":""4""}","{""Frame"":""180S"",""Mounting"":""IMB3; see catalog table for A,B,C…""}","[""Static Excitation"",""Self‑excited, Constant Voltage"",""High Reliability"",""Convenient Maintenance""]","[""Diesel‑generator sets"",""General‑purpose power"",""Stand‑by / emergency power""]",tzh_tzh12,2025-08-12T03:15:20.685798,2025-08-12T03:15:20.685798,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
TZH-16 Synchronous Alternator,alternators,TZH,TZH-16,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/tzh_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/tzh_alternator.pdf,TZH series alternator with static excitation and self‑excited constant voltage.,"{""Voltage"":""400 V"",""kVA"":""16.0"",""kW"":""12.8"",""RPM"":""1500 rpm"",""Poles"":""4""}","{""Frame"":""180M"",""Mounting"":""IMB3; see catalog table for A,B,C…""}","[""Static Excitation"",""Self‑excited, Constant Voltage"",""High Reliability"",""Convenient Maintenance""]","[""Diesel‑generator sets"",""General‑purpose power"",""Stand‑by / emergency power""]",tzh_tzh16,2025-08-12T03:15:20.685798,2025-08-12T03:15:20.685798,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
TZH-20 Synchronous Alternator,alternators,TZH,TZH-20,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/tzh_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/tzh_alternator.pdf,TZH series alternator with static excitation and self‑excited constant voltage.,"{""Voltage"":""400 V"",""kVA"":""20.0"",""kW"":""16.0"",""RPM"":""1500 rpm"",""Poles"":""4""}","{""Frame"":""200S"",""Mounting"":""IMB3; see catalog table for A,B,C…""}","[""Static Excitation"",""Self‑excited, Constant Voltage"",""High Reliability"",""Convenient Maintenance""]","[""Diesel‑generator sets"",""General‑purpose power"",""Stand‑by / emergency power""]",tzh_tzh20,2025-08-12T03:15:20.685798,2025-08-12T03:15:20.685798,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
TZH-24 Synchronous Alternator,alternators,TZH,TZH-24,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/tzh_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/tzh_alternator.pdf,TZH series alternator with static excitation and self‑excited constant voltage.,"{""Voltage"":""400 V"",""kVA"":""24.0"",""kW"":""19.2"",""RPM"":""1500 rpm"",""Poles"":""4""}","{""Frame"":""200M"",""Mounting"":""IMB3; see catalog table for A,B,C…""}","[""Static Excitation"",""Self‑excited, Constant Voltage"",""High Reliability"",""Convenient Maintenance""]","[""Diesel‑generator sets"",""General‑purpose power"",""Stand‑by / emergency power""]",tzh_tzh24,2025-08-12T03:15:20.685798,2025-08-12T03:15:20.685798,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
TZH-30 Synchronous Alternator,alternators,TZH,TZH-30,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/tzh_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/tzh_alternator.pdf,TZH series alternator with static excitation and self‑excited constant voltage.,"{""Voltage"":""400 V"",""kVA"":""30.0"",""kW"":""24.0"",""RPM"":""1500 rpm"",""Poles"":""4""}","{""Frame"":""225S"",""Mounting"":""IMB3; see catalog table for A,B,C…""}","[""Static Excitation"",""Self‑excited, Constant Voltage"",""High Reliability"",""Convenient Maintenance""]","[""Diesel‑generator sets"",""General‑purpose power"",""Stand‑by / emergency power""]",tzh_tzh30,2025-08-12T03:15:20.685798,2025-08-12T03:15:20.685798,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
TZH-40 Synchronous Alternator,alternators,TZH,TZH-40,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/tzh_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/tzh_alternator.pdf,TZH series alternator with static excitation and self‑excited constant voltage.,"{""Voltage"":""400 V"",""kVA"":""40.0"",""kW"":""32.0"",""RPM"":""1500 rpm"",""Poles"":""4""}","{""Frame"":""225M"",""Mounting"":""IMB3; see catalog table for A,B,C…""}","[""Static Excitation"",""Self‑excited, Constant Voltage"",""High Reliability"",""Convenient Maintenance""]","[""Diesel‑generator sets"",""General‑purpose power"",""Stand‑by / emergency power""]",tzh_tzh40,2025-08-12T03:15:20.685798,2025-08-12T03:15:20.685798,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
TZH-50 Synchronous Alternator,alternators,TZH,TZH-50,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/tzh_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/tzh_alternator.pdf,TZH series alternator with static excitation and self‑excited constant voltage.,"{""Voltage"":""400 V"",""kVA"":""50.0"",""kW"":""40.0"",""RPM"":""1500 rpm"",""Poles"":""4""}","{""Frame"":""225L"",""Mounting"":""IMB3; see catalog table for A,B,C…""}","[""Static Excitation"",""Self‑excited, Constant Voltage"",""High Reliability"",""Convenient Maintenance""]","[""Diesel‑generator sets"",""General‑purpose power"",""Stand‑by / emergency power""]",tzh_tzh50,2025-08-12T03:15:20.685798,2025-08-12T03:15:20.685798,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
TZH-64 Synchronous Alternator,alternators,TZH,TZH-64,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/tzh_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/tzh_alternator.pdf,TZH series alternator with static excitation and self‑excited constant voltage.,"{""Voltage"":""400 V"",""kVA"":""64.0"",""kW"":""51.2"",""RPM"":""1500 rpm"",""Poles"":""4""}","{""Frame"":""250M"",""Mounting"":""IMB3; see catalog table for A,B,C…""}","[""Static Excitation"",""Self‑excited, Constant Voltage"",""High Reliability"",""Convenient Maintenance""]","[""Diesel‑generator sets"",""General‑purpose power"",""Stand‑by / emergency power""]",tzh_tzh64,2025-08-12T03:15:20.685798,2025-08-12T03:15:20.685798,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
TZH-75 Synchronous Alternator,alternators,TZH,TZH-75,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/tzh_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/tzh_alternator.pdf,TZH series alternator with static excitation and self‑excited constant voltage.,"{""Voltage"":""400 V"",""kVA"":""75.0"",""kW"":""60.0"",""RPM"":""1500 rpm"",""Poles"":""4""}","{""Frame"":""250L"",""Mounting"":""IMB3; see catalog table for A,B,C…""}","[""Static Excitation"",""Self‑excited, Constant Voltage"",""High Reliability"",""Convenient Maintenance""]","[""Diesel‑generator sets"",""General‑purpose power"",""Stand‑by / emergency power""]",tzh_tzh75,2025-08-12T03:15:20.685798,2025-08-12T03:15:20.685798,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
