name,category,series,model,image_url,pdf_url,description,technical_specifications,dimension_specifications,features,applications,id,created_date,updated_date,created_by_id,created_by,is_sample
UCW Series Brushless Synchronous Alternator,alternators,UCW,,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/ucw_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/ucw_alternator.pdf,"Brushless synchronous alternators covering 37.5–1250 kVA at 1500 rpm and 200–875 kVA at 1000 rpm. High efficiency, low waveform distortion, and rugged construction for prime or standby generator sets.","{""Voltage"":""400 V"",""kVA"":""37.5–1250 (1500 rpm); 200–875 (1000 rpm)"",""kW"":""30–1000 (1500 rpm); 160–700 (1000 rpm)"",""RPM"":""1500 / 1000"",""Efficiency Range (%)"":""88.5–95.0""}","{""Frames"":""225, 250M, 250L, 315M, 315L, 355S, 355M, 355L, 400M, 400L"",""Mounting"":""See UCW Table 2 for IM mounting and dimensions.""}","[""Brushless design"",""High efficiency"",""Stable voltage and frequency performance"",""Industrial-grade construction""]","[""Prime and standby generator sets"",""Industrial backup power"",""OEM genset assemblies""]",ucw_parent,2025-08-12T03:34:24.898175,2025-08-12T03:34:24.898175,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
UCW-37_5-1500 Brushless Synchronous Alternator,alternators,UCW,UCW-37_5-1500,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/ucw_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/ucw_alternator.pdf,UCW alternator configured for the specified kVA and speed.,"{""Voltage"":""400 V"",""kVA"":""37.5"",""kW"":""30"",""RPM"":""1500"",""Efficiency (%)"":""88.5"",""Frame"":""225"",""Weight (kg)"":""300""}","{""Frame"": ""225"", ""Note"": ""Refer to UCW Table 2 for mounting dimensions""}","[""Brushless design"",""High efficiency"",""Stable voltage and frequency performance""]","[""Prime and standby generator sets"",""Industrial backup power"",""OEM genset assemblies""]",ucw_UCW_37_5_1500,2025-08-12T03:34:24.898175,2025-08-12T03:34:24.898175,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
UCW-50-1500 Brushless Synchronous Alternator,alternators,UCW,UCW-50-1500,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/ucw_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/ucw_alternator.pdf,UCW alternator configured for the specified kVA and speed.,"{""Voltage"":""400 V"",""kVA"":""50"",""kW"":""40"",""RPM"":""1500"",""Efficiency (%)"":""89.4"",""Frame"":""225"",""Weight (kg)"":""360""}","{""Frame"": ""225"", ""Note"": ""Refer to UCW Table 2 for mounting dimensions""}","[""Brushless design"",""High efficiency"",""Stable voltage and frequency performance""]","[""Prime and standby generator sets"",""Industrial backup power"",""OEM genset assemblies""]",ucw_UCW_50_1500,2025-08-12T03:34:24.898175,2025-08-12T03:34:24.898175,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
UCW-62_5-1500 Brushless Synchronous Alternator,alternators,UCW,UCW-62_5-1500,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/ucw_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/ucw_alternator.pdf,UCW alternator configured for the specified kVA and speed.,"{""Voltage"":""400 V"",""kVA"":""62.5"",""kW"":""50"",""RPM"":""1500"",""Efficiency (%)"":""90.0"",""Frame"":""225"",""Weight (kg)"":""380""}","{""Frame"": ""225"", ""Note"": ""Refer to UCW Table 2 for mounting dimensions""}","[""Brushless design"",""High efficiency"",""Stable voltage and frequency performance""]","[""Prime and standby generator sets"",""Industrial backup power"",""OEM genset assemblies""]",ucw_UCW_62_5_1500,2025-08-12T03:34:24.898175,2025-08-12T03:34:24.898175,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
UCW-80-1500 Brushless Synchronous Alternator,alternators,UCW,UCW-80-1500,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/ucw_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/ucw_alternator.pdf,UCW alternator configured for the specified kVA and speed.,"{""Voltage"":""400 V"",""kVA"":""80"",""kW"":""64"",""RPM"":""1500"",""Efficiency (%)"":""90.2"",""Frame"":""250M"",""Weight (kg)"":""440""}","{""Frame"": ""250M"", ""Note"": ""Refer to UCW Table 2 for mounting dimensions"", ""A"": 406, ""AB"": 486, ""B"": 349, ""BB"": 476, ""C"": 224, ""C1"": 240, ""D"": 70, ""E"": 140, ""E1"": 39.7, ""F"": 20, ""G"": 62.5, ""HA"": 250, ""HD"": 28, ""N-φK"": ""4-φ24"", ""L"": 960, ""L1"": 910, ""P"": 511.8, ""Q"": 530.2, ""Q1"": 333.3, ""K"": 6, ""R"": 566, ""U"": 320, ""a1"": 520, ""b1"": 352.4}","[""Brushless design"",""High efficiency"",""Stable voltage and frequency performance""]","[""Prime and standby generator sets"",""Industrial backup power"",""OEM genset assemblies""]",ucw_UCW_80_1500,2025-08-12T03:34:24.898175,2025-08-12T03:34:24.898175,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
UCW-93_75-1500 Brushless Synchronous Alternator,alternators,UCW,UCW-93_75-1500,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/ucw_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/ucw_alternator.pdf,UCW alternator configured for the specified kVA and speed.,"{""Voltage"":""400 V"",""kVA"":""93.75"",""kW"":""75"",""RPM"":""1500"",""Efficiency (%)"":""90.6"",""Frame"":""250M"",""Weight (kg)"":""540""}","{""Frame"": ""250M"", ""Note"": ""Refer to UCW Table 2 for mounting dimensions"", ""A"": 406, ""AB"": 486, ""B"": 349, ""BB"": 476, ""C"": 224, ""C1"": 240, ""D"": 70, ""E"": 140, ""E1"": 39.7, ""F"": 20, ""G"": 62.5, ""HA"": 250, ""HD"": 28, ""N-φK"": ""4-φ24"", ""L"": 960, ""L1"": 910, ""P"": 511.8, ""Q"": 530.2, ""Q1"": 333.3, ""K"": 6, ""R"": 566, ""U"": 320, ""a1"": 520, ""b1"": 352.4}","[""Brushless design"",""High efficiency"",""Stable voltage and frequency performance""]","[""Prime and standby generator sets"",""Industrial backup power"",""OEM genset assemblies""]",ucw_UCW_93_75_1500,2025-08-12T03:34:24.898175,2025-08-12T03:34:24.898175,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
UCW-112_5-1500 Brushless Synchronous Alternator,alternators,UCW,UCW-112_5-1500,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/ucw_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/ucw_alternator.pdf,UCW alternator configured for the specified kVA and speed.,"{""Voltage"":""400 V"",""kVA"":""112.5"",""kW"":""90"",""RPM"":""1500"",""Efficiency (%)"":""91.0"",""Frame"":""250M"",""Weight (kg)"":""570""}","{""Frame"": ""250M"", ""Note"": ""Refer to UCW Table 2 for mounting dimensions"", ""A"": 406, ""AB"": 486, ""B"": 349, ""BB"": 476, ""C"": 224, ""C1"": 240, ""D"": 70, ""E"": 140, ""E1"": 39.7, ""F"": 20, ""G"": 62.5, ""HA"": 250, ""HD"": 28, ""N-φK"": ""4-φ24"", ""L"": 960, ""L1"": 910, ""P"": 511.8, ""Q"": 530.2, ""Q1"": 333.3, ""K"": 6, ""R"": 566, ""U"": 320, ""a1"": 520, ""b1"": 352.4}","[""Brushless design"",""High efficiency"",""Stable voltage and frequency performance""]","[""Prime and standby generator sets"",""Industrial backup power"",""OEM genset assemblies""]",ucw_UCW_112_5_1500,2025-08-12T03:34:24.898175,2025-08-12T03:34:24.898175,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
UCW-125-1500 Brushless Synchronous Alternator,alternators,UCW,UCW-125-1500,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/ucw_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/ucw_alternator.pdf,UCW alternator configured for the specified kVA and speed.,"{""Voltage"":""400 V"",""kVA"":""125"",""kW"":""100"",""RPM"":""1500"",""Efficiency (%)"":""91.6"",""Frame"":""250M"",""Weight (kg)"":""610""}","{""Frame"": ""250M"", ""Note"": ""Refer to UCW Table 2 for mounting dimensions"", ""A"": 406, ""AB"": 486, ""B"": 349, ""BB"": 476, ""C"": 224, ""C1"": 240, ""D"": 70, ""E"": 140, ""E1"": 39.7, ""F"": 20, ""G"": 62.5, ""HA"": 250, ""HD"": 28, ""N-φK"": ""4-φ24"", ""L"": 960, ""L1"": 910, ""P"": 511.8, ""Q"": 530.2, ""Q1"": 333.3, ""K"": 6, ""R"": 566, ""U"": 320, ""a1"": 520, ""b1"": 352.4}","[""Brushless design"",""High efficiency"",""Stable voltage and frequency performance""]","[""Prime and standby generator sets"",""Industrial backup power"",""OEM genset assemblies""]",ucw_UCW_125_1500,2025-08-12T03:34:24.898175,2025-08-12T03:34:24.898175,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
UCW-150-1500 Brushless Synchronous Alternator,alternators,UCW,UCW-150-1500,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/ucw_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/ucw_alternator.pdf,UCW alternator configured for the specified kVA and speed.,"{""Voltage"":""400 V"",""kVA"":""150"",""kW"":""120"",""RPM"":""1500"",""Efficiency (%)"":""91.8"",""Frame"":""250L"",""Weight (kg)"":""710""}","{""Frame"": ""250L"", ""Note"": ""Refer to UCW Table 2 for mounting dimensions"", ""A"": 406, ""AB"": 486, ""B"": 406, ""BB"": 476, ""C"": 224, ""C1"": 240, ""D"": 70, ""E"": 140, ""E1"": 39.7, ""F"": 20, ""G"": 62.5, ""HA"": 250, ""HD"": 28, ""N-φK"": ""4-φ24"", ""L"": 960, ""L1"": 1010, ""P"": 511.8, ""Q"": 530.2, ""Q1"": 333.3, ""K"": 6, ""R"": 566, ""U"": 320, ""a1"": 520, ""b1"": 352.4}","[""Brushless design"",""High efficiency"",""Stable voltage and frequency performance""]","[""Prime and standby generator sets"",""Industrial backup power"",""OEM genset assemblies""]",ucw_UCW_150_1500,2025-08-12T03:34:24.898175,2025-08-12T03:34:24.898175,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
UCW-187_5-1500 Brushless Synchronous Alternator,alternators,UCW,UCW-187_5-1500,https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/ucw_alternator.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/ucw_alternator.pdf,UCW alternator configured for the specified kVA and speed.,"{""Voltage"":""400 V"",""kVA"":""187.5"",""kW"":""150"",""RPM"":""1500"",""Efficiency (%)"":""92.2"",""Frame"":""315M"",""Weight (kg)"":""760""}","{""Frame"": ""315M"", ""Note"": ""Refer to UCW Table 2 for mounting dimensions"", ""L"": 1265, ""a1"": 400, ""b1"": 250, ""e1"": 575}","[""Brushless design"",""High efficiency"",""Stable voltage and frequency performance""]","[""Prime and standby generator sets"",""Industrial backup power"",""OEM genset assemblies""]",ucw_UCW_187_5_1500,2025-08-12T03:34:24.898175,2025-08-12T03:34:24.898175,688c2a9073a7c76a0fa26e25,vincent.oei@gmail.com,
