id,name,category,series,model,frame_no,poles,kw,rpm_50hz,rpm_60hz,voltage_options,frequency,mounting,image_url,pdf_url,description,technical_specifications,dimension_specifications,features,applications
mecc_63m1_2p,MECC 63M1 2-Pole Three-Phase Motor,electric_motor,MECC Y2/Y23,63M1-2P,63M1,2,0.18,2900,3450,"[""220/380V"",""230/400V"",""400/690V""]","[""50 Hz"",""60 Hz""]","[""B3"",""B5"",""B35""]",https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/mecc_motor.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/mecc_motor.pdf,"MECC Y2/Y23 Series IEC-frame three-phase asynchronous squirrel-cage motors designed for reliable S1 continuous duty, offering multiple pole options (2/4/6/8/10) and 50/60 Hz operation. Rugged cast-iron construction, precision-balanced rotors, and standardized IEC dimensions support easy installation and maintenance across a wide range of industrial applications.","{""Frame No"":""63M1"",""Poles"":2,""kW"":0.18,""Rated RPM (50Hz)"":2900,""Rated RPM (60Hz)"":3450,""Voltage Options"":[""220/380V"",""230/400V"",""400/690V""],""Frequency"":[""50 Hz"",""60 Hz""],""Mounting"":[""B3"",""B5"",""B35""]}","{""Mountings"":[""B3"",""B5"",""B35""],""Note"":""Refer to catalog pages 4–6 for frame-specific mounting dimensions.""}","[""Cast-iron housing with high mechanical strength"",""Precision-balanced rotor for smooth, low-noise operation"",""Wide frame coverage (63–355) and 0.12–315 kW range"",""Multiple mountings: B3 (foot), B5 (flange), B35 (foot + flange)"",""Dual-frequency 50/60 Hz for global use"",""IP55 protection and Class F insulation (typical)"",""High starting torque with good overload capacity"",""IEC-standardized dimensions for easy replacement""]","[""Pumps for clean/process/irrigation water systems"",""Fans and blowers for ventilation and air handling"",""Air/gas compressors for industrial service"",""Conveyors and material handling lines"",""Mixers, crushers, grinders, and machine tools"",""HVAC equipment in commercial/industrial facilities"",""General-purpose industrial machinery""]"
mecc_63m1_4p,MECC 63M1 4-Pole Three-Phase Motor,electric_motor,MECC Y2/Y23,63M1-4P,63M1,4,0.12,1450,1730,"[""220/380V"",""230/400V"",""400/690V""]","[""50 Hz"",""60 Hz""]","[""B3"",""B5"",""B35""]",https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/mecc_motor.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/mecc_motor.pdf,"MECC Y2/Y23 Series IEC-frame three-phase asynchronous squirrel-cage motors designed for reliable S1 continuous duty, offering multiple pole options (2/4/6/8/10) and 50/60 Hz operation. Rugged cast-iron construction, precision-balanced rotors, and standardized IEC dimensions support easy installation and maintenance across a wide range of industrial applications.","{""Frame No"":""63M1"",""Poles"":4,""kW"":0.12,""Rated RPM (50Hz)"":1450,""Rated RPM (60Hz)"":1730,""Voltage Options"":[""220/380V"",""230/400V"",""400/690V""],""Frequency"":[""50 Hz"",""60 Hz""],""Mounting"":[""B3"",""B5"",""B35""]}","{""Mountings"":[""B3"",""B5"",""B35""],""Note"":""Refer to catalog pages 4–6 for frame-specific mounting dimensions.""}","[""Cast-iron housing with high mechanical strength"",""Precision-balanced rotor for smooth, low-noise operation"",""Wide frame coverage (63–355) and 0.12–315 kW range"",""Multiple mountings: B3 (foot), B5 (flange), B35 (foot + flange)"",""Dual-frequency 50/60 Hz for global use"",""IP55 protection and Class F insulation (typical)"",""High starting torque with good overload capacity"",""IEC-standardized dimensions for easy replacement""]","[""Pumps for clean/process/irrigation water systems"",""Fans and blowers for ventilation and air handling"",""Air/gas compressors for industrial service"",""Conveyors and material handling lines"",""Mixers, crushers, grinders, and machine tools"",""HVAC equipment in commercial/industrial facilities"",""General-purpose industrial machinery""]"
mecc_63m2_2p,MECC 63M2 2-Pole Three-Phase Motor,electric_motor,MECC Y2/Y23,63M2-2P,63M2,2,0.25,2900,3450,"[""220/380V"",""230/400V"",""400/690V""]","[""50 Hz"",""60 Hz""]","[""B3"",""B5"",""B35""]",https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/mecc_motor.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/mecc_motor.pdf,"MECC Y2/Y23 Series IEC-frame three-phase asynchronous squirrel-cage motors designed for reliable S1 continuous duty, offering multiple pole options (2/4/6/8/10) and 50/60 Hz operation. Rugged cast-iron construction, precision-balanced rotors, and standardized IEC dimensions support easy installation and maintenance across a wide range of industrial applications.","{""Frame No"":""63M2"",""Poles"":2,""kW"":0.25,""Rated RPM (50Hz)"":2900,""Rated RPM (60Hz)"":3450,""Voltage Options"":[""220/380V"",""230/400V"",""400/690V""],""Frequency"":[""50 Hz"",""60 Hz""],""Mounting"":[""B3"",""B5"",""B35""]}","{""Mountings"":[""B3"",""B5"",""B35""],""Note"":""Refer to catalog pages 4–6 for frame-specific mounting dimensions.""}","[""Cast-iron housing with high mechanical strength"",""Precision-balanced rotor for smooth, low-noise operation"",""Wide frame coverage (63–355) and 0.12–315 kW range"",""Multiple mountings: B3 (foot), B5 (flange), B35 (foot + flange)"",""Dual-frequency 50/60 Hz for global use"",""IP55 protection and Class F insulation (typical)"",""High starting torque with good overload capacity"",""IEC-standardized dimensions for easy replacement""]","[""Pumps for clean/process/irrigation water systems"",""Fans and blowers for ventilation and air handling"",""Air/gas compressors for industrial service"",""Conveyors and material handling lines"",""Mixers, crushers, grinders, and machine tools"",""HVAC equipment in commercial/industrial facilities"",""General-purpose industrial machinery""]"
mecc_63m2_4p,MECC 63M2 4-Pole Three-Phase Motor,electric_motor,MECC Y2/Y23,63M2-4P,63M2,4,0.18,1450,1730,"[""220/380V"",""230/400V"",""400/690V""]","[""50 Hz"",""60 Hz""]","[""B3"",""B5"",""B35""]",https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/mecc_motor.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/mecc_motor.pdf,"MECC Y2/Y23 Series IEC-frame three-phase asynchronous squirrel-cage motors designed for reliable S1 continuous duty, offering multiple pole options (2/4/6/8/10) and 50/60 Hz operation. Rugged cast-iron construction, precision-balanced rotors, and standardized IEC dimensions support easy installation and maintenance across a wide range of industrial applications.","{""Frame No"":""63M2"",""Poles"":4,""kW"":0.18,""Rated RPM (50Hz)"":1450,""Rated RPM (60Hz)"":1730,""Voltage Options"":[""220/380V"",""230/400V"",""400/690V""],""Frequency"":[""50 Hz"",""60 Hz""],""Mounting"":[""B3"",""B5"",""B35""]}","{""Mountings"":[""B3"",""B5"",""B35""],""Note"":""Refer to catalog pages 4–6 for frame-specific mounting dimensions.""}","[""Cast-iron housing with high mechanical strength"",""Precision-balanced rotor for smooth, low-noise operation"",""Wide frame coverage (63–355) and 0.12–315 kW range"",""Multiple mountings: B3 (foot), B5 (flange), B35 (foot + flange)"",""Dual-frequency 50/60 Hz for global use"",""IP55 protection and Class F insulation (typical)"",""High starting torque with good overload capacity"",""IEC-standardized dimensions for easy replacement""]","[""Pumps for clean/process/irrigation water systems"",""Fans and blowers for ventilation and air handling"",""Air/gas compressors for industrial service"",""Conveyors and material handling lines"",""Mixers, crushers, grinders, and machine tools"",""HVAC equipment in commercial/industrial facilities"",""General-purpose industrial machinery""]"
mecc_71m1_2p,MECC 71M1 2-Pole Three-Phase Motor,electric_motor,MECC Y2/Y23,71M1-2P,71M1,2,0.37,2900,3450,"[""220/380V"",""230/400V"",""400/690V""]","[""50 Hz"",""60 Hz""]","[""B3"",""B5"",""B35""]",https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/mecc_motor.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/mecc_motor.pdf,"MECC Y2/Y23 Series IEC-frame three-phase asynchronous squirrel-cage motors designed for reliable S1 continuous duty, offering multiple pole options (2/4/6/8/10) and 50/60 Hz operation. Rugged cast-iron construction, precision-balanced rotors, and standardized IEC dimensions support easy installation and maintenance across a wide range of industrial applications.","{""Frame No"":""71M1"",""Poles"":2,""kW"":0.37,""Rated RPM (50Hz)"":2900,""Rated RPM (60Hz)"":3450,""Voltage Options"":[""220/380V"",""230/400V"",""400/690V""],""Frequency"":[""50 Hz"",""60 Hz""],""Mounting"":[""B3"",""B5"",""B35""]}","{""Mountings"":[""B3"",""B5"",""B35""],""Note"":""Refer to catalog pages 4–6 for frame-specific mounting dimensions.""}","[""Cast-iron housing with high mechanical strength"",""Precision-balanced rotor for smooth, low-noise operation"",""Wide frame coverage (63–355) and 0.12–315 kW range"",""Multiple mountings: B3 (foot), B5 (flange), B35 (foot + flange)"",""Dual-frequency 50/60 Hz for global use"",""IP55 protection and Class F insulation (typical)"",""High starting torque with good overload capacity"",""IEC-standardized dimensions for easy replacement""]","[""Pumps for clean/process/irrigation water systems"",""Fans and blowers for ventilation and air handling"",""Air/gas compressors for industrial service"",""Conveyors and material handling lines"",""Mixers, crushers, grinders, and machine tools"",""HVAC equipment in commercial/industrial facilities"",""General-purpose industrial machinery""]"
mecc_71m1_4p,MECC 71M1 4-Pole Three-Phase Motor,electric_motor,MECC Y2/Y23,71M1-4P,71M1,4,0.25,1450,1730,"[""220/380V"",""230/400V"",""400/690V""]","[""50 Hz"",""60 Hz""]","[""B3"",""B5"",""B35""]",https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/mecc_motor.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/mecc_motor.pdf,"MECC Y2/Y23 Series IEC-frame three-phase asynchronous squirrel-cage motors designed for reliable S1 continuous duty, offering multiple pole options (2/4/6/8/10) and 50/60 Hz operation. Rugged cast-iron construction, precision-balanced rotors, and standardized IEC dimensions support easy installation and maintenance across a wide range of industrial applications.","{""Frame No"":""71M1"",""Poles"":4,""kW"":0.25,""Rated RPM (50Hz)"":1450,""Rated RPM (60Hz)"":1730,""Voltage Options"":[""220/380V"",""230/400V"",""400/690V""],""Frequency"":[""50 Hz"",""60 Hz""],""Mounting"":[""B3"",""B5"",""B35""]}","{""Mountings"":[""B3"",""B5"",""B35""],""Note"":""Refer to catalog pages 4–6 for frame-specific mounting dimensions.""}","[""Cast-iron housing with high mechanical strength"",""Precision-balanced rotor for smooth, low-noise operation"",""Wide frame coverage (63–355) and 0.12–315 kW range"",""Multiple mountings: B3 (foot), B5 (flange), B35 (foot + flange)"",""Dual-frequency 50/60 Hz for global use"",""IP55 protection and Class F insulation (typical)"",""High starting torque with good overload capacity"",""IEC-standardized dimensions for easy replacement""]","[""Pumps for clean/process/irrigation water systems"",""Fans and blowers for ventilation and air handling"",""Air/gas compressors for industrial service"",""Conveyors and material handling lines"",""Mixers, crushers, grinders, and machine tools"",""HVAC equipment in commercial/industrial facilities"",""General-purpose industrial machinery""]"
mecc_71m1_6p,MECC 71M1 6-Pole Three-Phase Motor,electric_motor,MECC Y2/Y23,71M1-6P,71M1,6,0.18,960,1140,"[""220/380V"",""230/400V"",""400/690V""]","[""50 Hz"",""60 Hz""]","[""B3"",""B5"",""B35""]",https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/mecc_motor.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/mecc_motor.pdf,"MECC Y2/Y23 Series IEC-frame three-phase asynchronous squirrel-cage motors designed for reliable S1 continuous duty, offering multiple pole options (2/4/6/8/10) and 50/60 Hz operation. Rugged cast-iron construction, precision-balanced rotors, and standardized IEC dimensions support easy installation and maintenance across a wide range of industrial applications.","{""Frame No"":""71M1"",""Poles"":6,""kW"":0.18,""Rated RPM (50Hz)"":960,""Rated RPM (60Hz)"":1140,""Voltage Options"":[""220/380V"",""230/400V"",""400/690V""],""Frequency"":[""50 Hz"",""60 Hz""],""Mounting"":[""B3"",""B5"",""B35""]}","{""Mountings"":[""B3"",""B5"",""B35""],""Note"":""Refer to catalog pages 4–6 for frame-specific mounting dimensions.""}","[""Cast-iron housing with high mechanical strength"",""Precision-balanced rotor for smooth, low-noise operation"",""Wide frame coverage (63–355) and 0.12–315 kW range"",""Multiple mountings: B3 (foot), B5 (flange), B35 (foot + flange)"",""Dual-frequency 50/60 Hz for global use"",""IP55 protection and Class F insulation (typical)"",""High starting torque with good overload capacity"",""IEC-standardized dimensions for easy replacement""]","[""Pumps for clean/process/irrigation water systems"",""Fans and blowers for ventilation and air handling"",""Air/gas compressors for industrial service"",""Conveyors and material handling lines"",""Mixers, crushers, grinders, and machine tools"",""HVAC equipment in commercial/industrial facilities"",""General-purpose industrial machinery""]"
mecc_71m2_2p,MECC 71M2 2-Pole Three-Phase Motor,electric_motor,MECC Y2/Y23,71M2-2P,71M2,2,0.55,2900,3450,"[""220/380V"",""230/400V"",""400/690V""]","[""50 Hz"",""60 Hz""]","[""B3"",""B5"",""B35""]",https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/mecc_motor.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/mecc_motor.pdf,"MECC Y2/Y23 Series IEC-frame three-phase asynchronous squirrel-cage motors designed for reliable S1 continuous duty, offering multiple pole options (2/4/6/8/10) and 50/60 Hz operation. Rugged cast-iron construction, precision-balanced rotors, and standardized IEC dimensions support easy installation and maintenance across a wide range of industrial applications.","{""Frame No"":""71M2"",""Poles"":2,""kW"":0.55,""Rated RPM (50Hz)"":2900,""Rated RPM (60Hz)"":3450,""Voltage Options"":[""220/380V"",""230/400V"",""400/690V""],""Frequency"":[""50 Hz"",""60 Hz""],""Mounting"":[""B3"",""B5"",""B35""]}","{""Mountings"":[""B3"",""B5"",""B35""],""Note"":""Refer to catalog pages 4–6 for frame-specific mounting dimensions.""}","[""Cast-iron housing with high mechanical strength"",""Precision-balanced rotor for smooth, low-noise operation"",""Wide frame coverage (63–355) and 0.12–315 kW range"",""Multiple mountings: B3 (foot), B5 (flange), B35 (foot + flange)"",""Dual-frequency 50/60 Hz for global use"",""IP55 protection and Class F insulation (typical)"",""High starting torque with good overload capacity"",""IEC-standardized dimensions for easy replacement""]","[""Pumps for clean/process/irrigation water systems"",""Fans and blowers for ventilation and air handling"",""Air/gas compressors for industrial service"",""Conveyors and material handling lines"",""Mixers, crushers, grinders, and machine tools"",""HVAC equipment in commercial/industrial facilities"",""General-purpose industrial machinery""]"
mecc_71m2_4p,MECC 71M2 4-Pole Three-Phase Motor,electric_motor,MECC Y2/Y23,71M2-4P,71M2,4,0.37,1450,1730,"[""220/380V"",""230/400V"",""400/690V""]","[""50 Hz"",""60 Hz""]","[""B3"",""B5"",""B35""]",https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/mecc_motor.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/mecc_motor.pdf,"MECC Y2/Y23 Series IEC-frame three-phase asynchronous squirrel-cage motors designed for reliable S1 continuous duty, offering multiple pole options (2/4/6/8/10) and 50/60 Hz operation. Rugged cast-iron construction, precision-balanced rotors, and standardized IEC dimensions support easy installation and maintenance across a wide range of industrial applications.","{""Frame No"":""71M2"",""Poles"":4,""kW"":0.37,""Rated RPM (50Hz)"":1450,""Rated RPM (60Hz)"":1730,""Voltage Options"":[""220/380V"",""230/400V"",""400/690V""],""Frequency"":[""50 Hz"",""60 Hz""],""Mounting"":[""B3"",""B5"",""B35""]}","{""Mountings"":[""B3"",""B5"",""B35""],""Note"":""Refer to catalog pages 4–6 for frame-specific mounting dimensions.""}","[""Cast-iron housing with high mechanical strength"",""Precision-balanced rotor for smooth, low-noise operation"",""Wide frame coverage (63–355) and 0.12–315 kW range"",""Multiple mountings: B3 (foot), B5 (flange), B35 (foot + flange)"",""Dual-frequency 50/60 Hz for global use"",""IP55 protection and Class F insulation (typical)"",""High starting torque with good overload capacity"",""IEC-standardized dimensions for easy replacement""]","[""Pumps for clean/process/irrigation water systems"",""Fans and blowers for ventilation and air handling"",""Air/gas compressors for industrial service"",""Conveyors and material handling lines"",""Mixers, crushers, grinders, and machine tools"",""HVAC equipment in commercial/industrial facilities"",""General-purpose industrial machinery""]"
mecc_71m2_6p,MECC 71M2 6-Pole Three-Phase Motor,electric_motor,MECC Y2/Y23,71M2-6P,71M2,6,0.25,960,1140,"[""220/380V"",""230/400V"",""400/690V""]","[""50 Hz"",""60 Hz""]","[""B3"",""B5"",""B35""]",https://raw.githubusercontent.com/wibawv/indahmachine/master/images/base44_product_image/mecc_motor.png,https://raw.githubusercontent.com/wibawv/indahmachine/master/Doc/mecc_motor.pdf,"MECC Y2/Y23 Series IEC-frame three-phase asynchronous squirrel-cage motors designed for reliable S1 continuous duty, offering multiple pole options (2/4/6/8/10) and 50/60 Hz operation. Rugged cast-iron construction, precision-balanced rotors, and standardized IEC dimensions support easy installation and maintenance across a wide range of industrial applications.","{""Frame No"":""71M2"",""Poles"":6,""kW"":0.25,""Rated RPM (50Hz)"":960,""Rated RPM (60Hz)"":1140,""Voltage Options"":[""220/380V"",""230/400V"",""400/690V""],""Frequency"":[""50 Hz"",""60 Hz""],""Mounting"":[""B3"",""B5"",""B35""]}","{""Mountings"":[""B3"",""B5"",""B35""],""Note"":""Refer to catalog pages 4–6 for frame-specific mounting dimensions.""}","[""Cast-iron housing with high mechanical strength"",""Precision-balanced rotor for smooth, low-noise operation"",""Wide frame coverage (63–355) and 0.12–315 kW range"",""Multiple mountings: B3 (foot), B5 (flange), B35 (foot + flange)"",""Dual-frequency 50/60 Hz for global use"",""IP55 protection and Class F insulation (typical)"",""High starting torque with good overload capacity"",""IEC-standardized dimensions for easy replacement""]","[""Pumps for clean/process/irrigation water systems"",""Fans and blowers for ventilation and air handling"",""Air/gas compressors for industrial service"",""Conveyors and material handling lines"",""Mixers, crushers, grinders, and machine tools"",""HVAC equipment in commercial/industrial facilities"",""General-purpose industrial machinery""]"
