model,frame_no,rated_voltage,poles,kw,rated_speed_rpm,source_pdf,source_page,check_status,notes
YJS315L-2,315L,380 V,2,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 2; product_input/yjs_pages/page_02.png,needs_review,"kW candidates: 160, 185, 200, 220, 293, 337, 363; speed candidates: 2965, 2966; manual page-image review required before treating dense-table values as verified"
YJS315L-4,315L,380 V,4,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 2; product_input/yjs_pages/page_02.png,needs_review,"kW candidates: 73, 77, 83, 87, 95, 160, 185, 200, 238, 287, 331, 358; speed candidates: 1450, 1482, 1483, 1500; manual page-image review required before treating dense-table values as verified"
YJS315L-6,315L,380 V,6,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 3; product_input/yjs_pages/page_03.png,needs_review,"kW candidates: 110, 126, 132, 133, 160, 162, 203, 242, 292; speed candidates: 987, 988; manual page-image review required before treating dense-table values as verified"
YJS315L-8,315L,380 V,8,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 3; product_input/yjs_pages/page_03.png,needs_review,"kW candidates: 110, 132, 147, 177, 213, 254, 308, 324, 377, 390; speed candidates: 735, 737, 738; manual page-image review required before treating dense-table values as verified"
YJS315L-10,315L,380 V,10,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 3; product_input/yjs_pages/page_03.png,needs_review,"kW candidates: 55, 75, 90, 112, 157, 184, 480, 572, 590, 591; speed candidates: 590, 591; manual page-image review required before treating dense-table values as verified"
YJS315M-2,315M,380 V,2,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 2; product_input/yjs_pages/page_02.png,needs_review,"kW candidates: 110, 132, 160, 185, 203, 293; speed candidates: 2966, 2967; manual page-image review required before treating dense-table values as verified"
YJS315M-4,315M,380 V,4,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 2; product_input/yjs_pages/page_02.png,needs_review,"kW candidates: 73, 77, 83, 95, 99, 109, 110, 132, 160, 185, 198, 200, 220, 238, 250, 287, 358, 388, 440; speed candidates: 1450, 1482, 1483, 1484, 1500; manual page-image review required before treating dense-table values as verified"
YJS315M-6,315M,380 V,6,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 3; product_input/yjs_pages/page_03.png,needs_review,"kW candidates: 75, 90, 110, 126, 139, 166, 203, 209; speed candidates: 987, 988; manual page-image review required before treating dense-table values as verified"
YJS315M-8,315M,380 V,8,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 3; product_input/yjs_pages/page_03.png,needs_review,"kW candidates: 55, 75, 109, 147, 177, 259, 308, 324, 390, 455; speed candidates: 737, 738; manual page-image review required before treating dense-table values as verified"
YJS315M-10,315M,380 V,10,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 3; product_input/yjs_pages/page_03.png,needs_review,"kW candidates: 45, 55, 75, 93, 112, 157, 480, 572, 590, 591; speed candidates: 590, 591; manual page-image review required before treating dense-table values as verified"
YJS315S-2,315S,380 V,2,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 2; product_input/yjs_pages/page_02.png,needs_review,"kW candidates: 110, 132, 160, 203, 293; speed candidates: 2966, 2967; manual page-image review required before treating dense-table values as verified"
YJS315S-4,315S,380 V,4,,1483,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 2; product_input/yjs_pages/page_02.png,needs_review,"kW candidates: 73, 110, 132, 198, 238, 630; speed candidates: 1483; manual page-image review required before treating dense-table values as verified"
YJS315S-6,315S,380 V,6,,987,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 3; product_input/yjs_pages/page_03.png,needs_review,"kW candidates: 75, 90, 110, 126, 139, 166, 209, 213, 630; speed candidates: 987; manual page-image review required before treating dense-table values as verified"
YJS315S-8,315S,380 V,8,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 3; product_input/yjs_pages/page_03.png,needs_review,"kW candidates: 55, 75, 109, 147, 259, 415, 450, 455; speed candidates: 737, 738; manual page-image review required before treating dense-table values as verified"
YJS315S-10,315S,380 V,10,,590,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 3; product_input/yjs_pages/page_03.png,needs_review,"kW candidates: 45, 55, 93, 112, 355, 480, 572, 590; speed candidates: 590; manual page-image review required before treating dense-table values as verified"
YJS355L-2,355L,380 V,2,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 2; product_input/yjs_pages/page_02.png,needs_review,"kW candidates: 95, 220, 250, 280, 315, 355, 398, 448, 499, 563; speed candidates: 2965, 2975, 2976, 2979; manual page-image review required before treating dense-table values as verified"
YJS355L-4,355L,380 V,4,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 3; product_input/yjs_pages/page_03.png,needs_review,"kW candidates: 101, 118, 280, 315, 355, 497, 557, 613; speed candidates: 1482, 1484, 1486; manual page-image review required before treating dense-table values as verified"
YJS355L-6,355L,380 V,6,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 3; product_input/yjs_pages/page_03.png,needs_review,"kW candidates: 95, 203, 220, 229, 250, 280, 290, 401, 450, 502; speed candidates: 987, 988, 989; manual page-image review required before treating dense-table values as verified"
YJS355L-8,355L,380 V,8,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 3; product_input/yjs_pages/page_03.png,needs_review,"kW candidates: 95, 185, 200, 220, 361, 384, 420, 478, 482, 565; speed candidates: 738, 740; manual page-image review required before treating dense-table values as verified"
YJS355L-10,355L,380 V,10,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 3; product_input/yjs_pages/page_03.png,needs_review,"kW candidates: 94, 110, 132, 160, 222, 270, 329, 590, 591; speed candidates: 590, 591; manual page-image review required before treating dense-table values as verified"
YJS355M-6,355M,380 V,6,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 3; product_input/yjs_pages/page_03.png,needs_review,"kW candidates: 95, 160, 162, 185, 191, 200, 203, 204, 292, 338, 365; speed candidates: 987, 988; manual page-image review required before treating dense-table values as verified"
YJS355M-8,355M,380 V,8,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 3; product_input/yjs_pages/page_03.png,needs_review,"kW candidates: 132, 160, 185, 254, 307, 361, 377, 419, 478; speed candidates: 735, 738; manual page-image review required before treating dense-table values as verified"
YJS355M-10,355M,380 V,10,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 3; product_input/yjs_pages/page_03.png,needs_review,"kW candidates: 90, 94, 110, 132, 157, 184, 222, 270, 590, 591; speed candidates: 590, 591; manual page-image review required before treating dense-table values as verified"
YJS400L-2,400L,380 V,2,,,website/absolute-astronaut/public/raw_catalog/YJS.pdf,PDF page 2; product_input/yjs_pages/page_02.png,needs_review,"kW candidates: 95, 355, 400, 450, 630; speed candidates: 2975, 2979, 2980; manual page-image review required before treating dense-table values as verified"
